School Year,Level,Division Number,Division Name,Disadvantaged,FT Count,PT Count,Total Count
2017-2018,State,,,N,"         761,555",             932,"         762,487"
2017-2018,State,,,Y,"         529,684",             535,"         530,219"
2018-2019,Division,2,Albemarle County,N,"           9,870",              17,"           9,887"
2018-2019,Division,2,Albemarle County,Y,"           4,124",<,"           4,126"
2018-2019,State,,,N,"         769,044",             822,"         769,866"
2018-2019,State,,,Y,"         520,132",             515,"         520,647"
2019-2020,Division,2,Albemarle County,N,"          10,158",              30,"          10,188"
2019-2020,Division,2,Albemarle County,Y,"           4,246",<,"           4,247"
2019-2020,State,,,N,"         779,966",             742,"         780,708"
2019-2020,State,,,Y,"         516,856",             519,"         517,375"
2020-2021,Division,2,Albemarle County,N,"           9,217",              28,"           9,245"
2020-2021,Division,2,Albemarle County,Y,"           4,282",<,"           4,287"
2020-2021,State,,,N,"         740,398",             752,"         741,150"
2020-2021,State,,,Y,"         511,097",             505,"         511,602"
2021-2022,Division,2,Albemarle County,N,"           9,940",              26,"           9,966"
2021-2022,Division,2,Albemarle County,Y,"           3,781",<,"           3,783"
2021-2022,State,,,N,"         737,792","           1,141","         738,933"
2021-2022,State,,,Y,"         512,406",             631,"         513,037"
2022-2023,Division,2,Albemarle County,N,"           9,621",              16,"           9,637"
2022-2023,Division,2,Albemarle County,Y,"           4,331",<,"           4,333"
2022-2023,State,,,N,"         705,649","           1,072","         706,721"
2022-2023,State,,,Y,"         556,048",             598,"         556,646"
2023-2024,Division,2,Albemarle County,N,"           9,625",              13,"           9,638"
2023-2024,Division,2,Albemarle County,Y,"           4,196",<,"           4,197"
2023-2024,State,,,N,"         712,511","           1,119","         713,630"
2023-2024,State,,,Y,"         547,616",             765,"         548,381"
2024-2025,Division,2,Albemarle County,N,"          10,257",<,"          10,266"
2024-2025,Division,2,Albemarle County,Y,"           3,907",,"           3,907"
2024-2025,State,,,N,"         721,317","           1,830","         723,147"
2024-2025,State,,,Y,"         537,475",             765,"         538,240"
